company_name,std_company_name
3rdPLACE,3rdPLACE
abdus salam international centre for theoretical physics,Abdus salam international centre for theoretical physics
Accenture,Accenture
Accenture Interactive,Accenture
Accenture Italia,Accenture
accenture strategy,Accenture
accurat,Accurat
adb,Adb
addfor s.p.a.,Addfor s.p.a.
advanced global solution ags s.p.a.,Advanced Global Solution AGS SPA
Advanced Global Solution AGS SPA,Advanced Global Solution AGS SPA
advanced global solution ags spa,Advanced Global Solution AGS SPA
advancia technology,Advancia technology
adyen,Adyen
Afiniti.com,Afiniti.com
Agenzia Mobilità Ambiente Territorio Srl,Agenzia Mobilità Ambiente Territorio Srl
Agile Lab,Agile Lab
Agos,Agos
Alcance S.A.,Alcance S.A.
ALEXBANK,ALEXBANK
Allianz,Allianz
allianz global corporate,Allianz
Allianz Italia,Allianz
Alten Italia,Allianz
ALTERNA Srl,ALTERNA Srl
Altran,Altran
amadeus it group,Amadeus it group
amazon web services,Amazon
Amplifon,Amplifon
Anemocyte,Anemocyte
aNobii,ANobii
aporen,Aporen
aramis,Aramis
arduino.org,Arduino.org
Aresys Srl,Aresys Srl
Art spa,Art spa
Assicurazioni generali spa,Generali
atom lab milano,Atom lab
atomikad,AtomikAd
Atos,Atos
Atos Italia,Atos
Auriga,Auriga
Avanade,Avanade
ax for pharma,Ax For Pharma
AXA,AXA
axa insurance company,AXA
AXA Italia,AXA
axa italia,AXA
Axpo Italia,Axpo
baker mckenzie,Baker & McKenzie
Banca Mediolanum,Banca Mediolanum
banca mediolanum s.p.a.,Banca Mediolanum
banksealer,Banksealer
banzai,Banzai
bdsound,Bdsound
be consulting,Be consulting
Beintoo,Beintoo
Bending Spoons,Bending Spoons
Beta 80 Group,Beta 80 Group
bgp,BGP Management Consulting
Bid Company,Bid Company
Big Data Technologies srl,Big Data Technologies srl
BigData.it,BigData.it
BIP,BIP
Bizmatica Econocom,Bizmatica Econocom
blackrock,Blackrock
BlisMedia. Student of Data...,BlisMedia. Student of Data...
blue reply,Blue reply
bmw group,BMW
bnp paribas securities services.,BNP Paribas
Bocconi Milan. Interested in Marketing and Strategy Consulting,Bocconi
Boccony University in Milan MSc Program in Economics and Management of Innovation and Technology|,Bocconi
booking.com,Booking.com
BorsadelCredito.it,BorsadelCredito.it
Bosch,Bosch
bottega52,Bottega52
Brain Management,Brain Management
Brembo S.p.A.,Brembo S.p.A.
Brother Tongue,Brother Tongue
btdata,Btdata
BTO Research,BTO Research
buildo,Buildo
